Chapter,Group,Sub-group,Sub-group disaggregation,Topic,Topic disaggregation,Current/Trend,Year,Numerator,Denominator,Per cent
Overview and demographics,Maternal age,Maternal age,20,Patient election status,Public,Current,2018,5557,203484,2.7
Overview and demographics,Maternal age,Maternal age,20,Patient election status,Private,Current,2018,191,83317,0.2
Overview and demographics,Maternal age,Maternal age,20,Patient election status,Not stated,Current,2018,13,788,1.6
Overview and demographics,Maternal age,Maternal age,24,Patient election status,Public,Current,2018,29944,203484,14.7
Overview and demographics,Maternal age,Maternal age,24,Patient election status,Private,Current,2018,2368,83317,2.8
Overview and demographics,Maternal age,Maternal age,24,Patient election status,Not stated,Current,2018,78,788,9.9
Overview and demographics,Maternal age,Maternal age,29,Patient election status,Public,Current,2018,59992,203484,29.5
Overview and demographics,Maternal age,Maternal age,29,Patient election status,Private,Current,2018,15739,83317,18.9
Overview and demographics,Maternal age,Maternal age,29,Patient election status,Not stated,Current,2018,207,788,26.3
Overview and demographics,Maternal age,Maternal age,34,Patient election status,Public,Current,2018,67181,203484,33
Overview and demographics,Maternal age,Maternal age,34,Patient election status,Private,Current,2018,36045,83317,43.3
Overview and demographics,Maternal age,Maternal age,34,Patient election status,Not stated,Current,2018,286,788,36.3
Overview and demographics,Maternal age,Maternal age,39,Patient election status,Public,Current,2018,33482,203484,16.5
Overview and demographics,Maternal age,Maternal age,39,Patient election status,Private,Current,2018,23566,83317,28.3
Overview and demographics,Maternal age,Maternal age,39,Patient election status,Not stated,Current,2018,156,788,19.8
Overview and demographics,Maternal age,Maternal age,40,Patient election status,Public,Current,2018,7326,203484,3.6
Overview and demographics,Maternal age,Maternal age,40,Patient election status,Private,Current,2018,5397,83317,6.5
Overview and demographics,Maternal age,Maternal age,40,Patient election status,Not stated,Current,2018,47,788,6
Overview and demographics,Maternal age,Maternal age,0,Patient election status,Public,Current,2018,2,203484,0
Overview and demographics,Maternal age,Maternal age,0,Patient election status,Private,Current,2018,11,83317,0
Overview and demographics,Maternal age,Maternal age,0,Patient election status,Not stated,Current,2018,1,788,0.1
Overview and demographics,Maternal age,Maternal age,20,Hospital sector,Public,Current,2018,5508,215016,2.6
Overview and demographics,Maternal age,Maternal age,20,Hospital sector,Private,Current,2018,253,72573,0.3
Overview and demographics,Maternal age,Maternal age,20,Hospital sector,Not stated,Current,2018,0,0,0
Overview and demographics,Maternal age,Maternal age,24,Hospital sector,Public,Current,2018,30052,215016,14
Overview and demographics,Maternal age,Maternal age,24,Hospital sector,Private,Current,2018,2338,72573,3.2
Overview and demographics,Maternal age,Maternal age,24,Hospital sector,Not stated,Current,2018,0,0,0
Overview and demographics,Maternal age,Maternal age,29,Hospital sector,Public,Current,2018,62389,215016,29
Overview and demographics,Maternal age,Maternal age,29,Hospital sector,Private,Current,2018,13549,72573,18.7
Overview and demographics,Maternal age,Maternal age,29,Hospital sector,Not stated,Current,2018,0,0,0
Overview and demographics,Maternal age,Maternal age,34,Hospital sector,Public,Current,2018,72211,215016,33.6
Overview and demographics,Maternal age,Maternal age,34,Hospital sector,Private,Current,2018,31301,72573,43.1
Overview and demographics,Maternal age,Maternal age,34,Hospital sector,Not stated,Current,2018,0,0,0
Overview and demographics,Maternal age,Maternal age,39,Hospital sector,Public,Current,2018,36720,215016,17.1
Overview and demographics,Maternal age,Maternal age,39,Hospital sector,Private,Current,2018,20484,72573,28.2
Overview and demographics,Maternal age,Maternal age,39,Hospital sector,Not stated,Current,2018,0,0,0
Overview and demographics,Maternal age,Maternal age,40,Hospital sector,Public,Current,2018,8132,215016,3.8
Overview and demographics,Maternal age,Maternal age,40,Hospital sector,Private,Current,2018,4638,72573,6.4
Overview and demographics,Maternal age,Maternal age,40,Hospital sector,Not stated,Current,2018,0,0,0
Overview and demographics,Maternal age,Maternal age,0,Hospital sector,Public,Current,2018,4,215016,0
Overview and demographics,Maternal age,Maternal age,0,Hospital sector,Private,Current,2018,10,72573,0
Overview and demographics,Maternal age,Maternal age,0,Hospital sector,Not stated,Current,2018,0,0,0
Overview and demographics,Maternal age,Maternal age,20,Indigenous status (mother),Indigenous,Current,2018,1638,13754,11.9
Overview and demographics,Maternal age,Maternal age,20,Indigenous status (mother),Non-Indigenous,Current,2018,4363,284168,1.5
Overview and demographics,Maternal age,Maternal age,20,Indigenous status (mother),Not stated,Current,2018,13,708,1.8
Overview and demographics,Maternal age,Maternal age,24,Indigenous status (mother),Indigenous,Current,2018,4332,13754,31.5
Overview and demographics,Maternal age,Maternal age,24,Indigenous status (mother),Non-Indigenous,Current,2018,29348,284168,10.3
Overview and demographics,Maternal age,Maternal age,24,Indigenous status (mother),Not stated,Current,2018,54,708,7.6
Overview and demographics,Maternal age,Maternal age,29,Indigenous status (mother),Indigenous,Current,2018,3935,13754,28.6
Overview and demographics,Maternal age,Maternal age,29,Indigenous status (mother),Non-Indigenous,Current,2018,75001,284168,26.4
Overview and demographics,Maternal age,Maternal age,29,Indigenous status (mother),Not stated,Current,2018,155,708,21.9
Overview and demographics,Maternal age,Maternal age,34,Indigenous status (mother),Indigenous,Current,2018,2501,13754,18.2
Overview and demographics,Maternal age,Maternal age,34,Indigenous status (mother),Non-Indigenous,Current,2018,104731,284168,36.9
Overview and demographics,Maternal age,Maternal age,34,Indigenous status (mother),Not stated,Current,2018,253,708,35.7
Overview and demographics,Maternal age,Maternal age,39,Indigenous status (mother),Indigenous,Current,2018,1090,13754,7.9
Overview and demographics,Maternal age,Maternal age,39,Indigenous status (mother),Non-Indigenous,Current,2018,57916,284168,20.4
Overview and demographics,Maternal age,Maternal age,39,Indigenous status (mother),Not stated,Current,2018,190,708,26.8
