babies_term,topic,topic_disaggregation,year,count,year_total,percent_total
Pre-term,Admission to SCN/NICU,Admitted,2018,11839,31838,37.2
Pre-term,Admission to SCN/NICU,Not admitted,2018,2945,139691,2.1
Pre-term,Admission to SCN/NICU,Not stated,2018,33,1227,2.7
Term,Admission to SCN/NICU,Admitted,2018,19917,31838,62.6
Term,Admission to SCN/NICU,Not admitted,2018,136360,139691,97.6
Term,Admission to SCN/NICU,Not stated,2018,1192,1227,97.1
Post-term,Admission to SCN/NICU,Admitted,2018,80,31838,0.3
Post-term,Admission to SCN/NICU,Not admitted,2018,378,139691,0.3
Post-term,Admission to SCN/NICU,Not stated,2018,1,1227,0.1
Not stated,Admission to SCN/NICU,Admitted,2018,2,31838,0
Not stated,Admission to SCN/NICU,Not admitted,2018,8,139691,0
Not stated,Admission to SCN/NICU,Not stated,2018,1,1227,0.1
Pre-term,Birth status,Live birth,2018,24580,300902,8.2
Pre-term,Birth status,Stillbirth,2018,1877,2118,88.6
Pre-term,Birth status,Not stated,2018,4,9,44.4
Term,Birth status,Live birth,2018,274959,300902,91.4
Term,Birth status,Stillbirth,2018,239,2118,11.3
Term,Birth status,Not stated,2018,5,9,55.6
Post-term,Birth status,Not stated,2018,0,9,0
Not stated,Birth status,Not stated,2018,0,9,0
Pre-term,Birthweight,Normal birthweight,2018,10657,277531,3.8
Pre-term,Birthweight,Not stated,2018,100,215,46.5
Term,Birthweight,Low birthweight,2018,6225,21908,28.4
Term,Birthweight,Normal birthweight,2018,265598,277531,95.7
Term,Birthweight,High birthweight,2018,3265,3375,96.7
Term,Birthweight,Not stated,2018,115,215,53.5
Post-term,Birthweight,Normal birthweight,2018,1211,277531,0.4
Post-term,Birthweight,Not stated,2018,0,215,0
Not stated,Birthweight,Low birthweight,2018,5,21908,0
Not stated,Birthweight,Normal birthweight,2018,65,277531,0
Not stated,Birthweight,High birthweight,2018,0,3375,0
Not stated,Birthweight,Not stated,2018,0,215,0
Pre-term,Body mass index,Underweight,2018,1156,11265,10.3
Pre-term,Body mass index,Normal weight,2018,11446,146217,7.8
Pre-term,Body mass index,Overweight,2018,6385,76879,8.3
Pre-term,Body mass index,Obese,2018,6013,61103,9.8
Pre-term,Body mass index,Not stated,2018,1461,7565,19.3
Term,Body mass index,Underweight,2018,10068,11265,89.4
Term,Body mass index,Normal weight,2018,134016,146217,91.7
Term,Body mass index,Overweight,2018,70165,76879,91.3
Term,Body mass index,Obese,2018,54881,61103,89.8
Term,Body mass index,Not stated,2018,6073,7565,80.3
Post-term,Body mass index,Underweight,2018,37,11265,0.3
Post-term,Body mass index,Normal weight,2018,716,146217,0.5
Post-term,Body mass index,Overweight,2018,322,76879,0.4
Post-term,Body mass index,Obese,2018,203,61103,0.3
Post-term,Body mass index,Not stated,2018,17,7565,0.2
Not stated,Body mass index,Underweight,2018,4,11265,0
Not stated,Body mass index,Normal weight,2018,39,146217,0
Not stated,Body mass index,Overweight,2018,7,76879,0
Not stated,Body mass index,Obese,2018,6,61103,0
Not stated,Body mass index,Not stated,2018,14,7565,0.2
Pre-term,Country of birth (mother),Born in Australia,2018,17873,195116,9.2
Pre-term,Country of birth (mother),Born overseas,2018,8484,106823,7.9
Pre-term,Country of birth (mother),Not stated,2018,104,1090,9.5
Term,Country of birth (mother),Born in Australia,2018,176277,195116,90.3
Term,Country of birth (mother),Born overseas,2018,97951,106823,91.7
Term,Country of birth (mother),Not stated,2018,975,1090,89.4
Post-term,Country of birth (mother),Born in Australia,2018,916,195116,0.5
Post-term,Country of birth (mother),Born overseas,2018,371,106823,0.3
Post-term,Country of birth (mother),Not stated,2018,8,1090,0.7
Not stated,Country of birth (mother),Born in Australia,2018,50,195116,0
Not stated,Country of birth (mother),Born overseas,2018,17,106823,0
Not stated,Country of birth (mother),Not stated,2018,3,1090,0.3
Pre-term,Hospital sector,Public,2018,20060,218332,9.2
Pre-term,Hospital sector,Private,2018,5970,73625,8.1
Pre-term,Hospital sector,Not stated,2018,0,0,0
Term,Hospital sector,Public,2018,197191,218332,90.3
Term,Hospital sector,Private,2018,67502,73625,91.7
Term,Hospital sector,Not stated,2018,0,0,0
Post-term,Hospital sector,Public,2018,1061,218332,0.5
Post-term,Hospital sector,Private,2018,118,73625,0.2
Post-term,Hospital sector,Not stated,2018,0,0,0
Not stated,Hospital sector,Public,2018,20,218332,0
Not stated,Hospital sector,Private,2018,35,73625,0
Not stated,Hospital sector,Not stated,2018,0,0,0
Pre-term,Indigenous status (mother),Indigenous,2018,1932,13962,13.8
Pre-term,Indigenous status (mother),Non-Indigenous,2018,24441,288349,8.5
Pre-term,Indigenous status (mother),Not stated,2018,88,718,12.3
Term,Indigenous status (mother),Indigenous,2018,11972,13962,85.7
Term,Indigenous status (mother),Non-Indigenous,2018,262606,288349,91.1
Term,Indigenous status (mother),Not stated,2018,625,718,87
Post-term,Indigenous status (mother),Indigenous,2018,55,13962,0.4
Post-term,Indigenous status (mother),Non-Indigenous,2018,1237,288349,0.4
Post-term,Indigenous status (mother),Not stated,2018,3,718,0.4
Not stated,Indigenous status (mother),Indigenous,2018,3,13962,0
Not stated,Indigenous status (mother),Non-Indigenous,2018,65,288349,0
Not stated,Indigenous status (mother),Not stated,2018,2,718,0.3
Pre-term,Indigenous status (baby),Indigenous,2018,2249,17263,13
Pre-term,Indigenous status (baby),Non-Indigenous,2018,23293,282306,8.3
Pre-term,Indigenous status (baby),Not stated,2018,919,3460,26.6
Term,Indigenous status (baby),Indigenous,2018,14947,17263,86.6
Term,Indigenous status (baby),Non-Indigenous,2018,257747,282306,91.3
Term,Indigenous status (baby),Not stated,2018,2509,3460,72.5
Post-term,Indigenous status (baby),Indigenous,2018,66,17263,0.4
Post-term,Indigenous status (baby),Non-Indigenous,2018,1210,282306,0.4
Post-term,Indigenous status (baby),Not stated,2018,19,3460,0.5
Not stated,Indigenous status (baby),Indigenous,2018,1,17263,0
Not stated,Indigenous status (baby),Non-Indigenous,2018,56,282306,0
Not stated,Indigenous status (baby),Not stated,2018,13,3460,0.4
Pre-term,Maternal age,Less than 20,2018,670,6051,11.1
Pre-term,Maternal age,20-24,2018,3105,34088,9.1
Pre-term,Maternal age,25-29,2018,6389,80097,8
Pre-term,Maternal age,30-34,2018,8941,109116,8.2
Pre-term,Maternal age,35-39,2018,5686,60245,9.4
Pre-term,Maternal age,40 and over,2018,1669,13414,12.4
Pre-term,Maternal age,Not stated,2018,1,18,5.6
Term,Maternal age,Less than 20,2018,5348,6051,88.4
Term,Maternal age,20-24,2018,30848,34088,90.5
Term,Maternal age,25-29,2018,73356,80097,91.6
Term,Maternal age,30-34,2018,99648,109116,91.3
Term,Maternal age,35-39,2018,54272,60245,90.1
Term,Maternal age,40 and over,2018,11714,13414,87.3
Term,Maternal age,Not stated,2018,17,18,94.4
Post-term,Maternal age,Less than 20,2018,33,6051,0.5
Post-term,Maternal age,20-24,2018,127,34088,0.4
Post-term,Maternal age,25-29,2018,341,80097,0.4
Post-term,Maternal age,30-34,2018,494,109116,0.5
Post-term,Maternal age,35-39,2018,272,60245,0.5
Post-term,Maternal age,40 and over,2018,28,13414,0.2
Post-term,Maternal age,Not stated,2018,0,18,0
Not stated,Maternal age,Less than 20,2018,0,6051,0
Not stated,Maternal age,20-24,2018,8,34088,0
Not stated,Maternal age,25-29,2018,11,80097,0
Not stated,Maternal age,30-34,2018,33,109116,0
