"Table S8: Intercountry adoption, by country of origin, 2009–10 to 2018–19",,,,,,,,,,,,,
Back to Contents,,,,,,,,,,,,,
Country of birth,2009–10(c),2010–11(c),2011–12(c),2012–13(c),2013–14,2014–15,2015–16,2016–17,2017–18(d),2018–19,Total,,
,Number,,,,,,,,,,,,
China(a),32,51,24,14,11,4,3,1,—,—,140,,
India,22,19,8,3,7,2,—,—,2,—,63,,
Philippines,49,37,29,20,18,22,20,18,9,15,237,,
South Korea,30,19,26,14,13,4,14,14,19,17,170,,
Taiwan,26,27,29,46,41,30,16,24,21,15,275,,
Thailand,16,13,16,16,11,13,18,10,9,6,128,,
Other(b),48,51,25,25,13,8,11,2,5,4,192,,
Total ,223,217,157,138,114,83,82,69,65,57,"1,205",,
,Per cent,,,,,,,,,,,,
China(a),14.3,23.5,15.3,10.1,9.6,4.8,3.7,1.4,. .,. .,11.6,,
India,9.9,8.8,5.1,2.2,6.1,2.4,. .,. .,3.1,. .,5.2,,
Philippines,22.0,17.1,18.5,14.5,15.8,26.5,24.4,26.1,13.8,26.3,19.7,,
South Korea,13.5,8.8,16.6,10.1,11.4,4.8,17.1,20.3,29.2,29.8,14.1,,
Taiwan,11.7,12.4,18.5,33.3,36.0,36.1,19.5,34.8,32.3,26.3,22.8,,
Thailand,7.2,6.0,10.2,11.6,9.6,15.7,22.0,14.5,13.8,10.5,10.6,,
Other(b),21.5,23.5,15.9,18.1,11.4,9.6,13.4,2.9,7.7,7.0,15.9,,
Total ,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,
(a) Excludes Special Administrative Regions and Taiwan Province.,,,,,,,,,,,,,
"(b) Includes Bolivia, Bulgaria, Burundi, Chile, Colombia, Ethiopia, Hong Kong, Lithuania, Peru, South Africa, Sri Lanka, Turkey and the United Kingdom.",,,,,,,,,,,,,
"(c) On 4 March 2014, amendments were made to the Family Law (Bilateral Arrangements-Intercountry Adoption) Regulations 1998 began. These have meant that some adoptions from Ethiopia and Taiwan, not yet finalised in Australia, were recognised during 2013–14 as being finalised in previous period. These updated data are reflected in this table: 1 adoption from Ethiopia in 2006–07; 1 adoption from Ethiopia in 2009–10; 1 adoption from Ethiopia and 1 adoption from Taiwan in 2010–11; 1 adoption from Ethiopia and 7 adoptions in Taiwan in 2011–12; and 9 adoptions from Taiwan in 2012–13.",,,,,,,,,,,,,
"(d) Commencing in 2017-18, known child intercountry adoptions are deemed to be out-of-scope for national reporting and are excluded counts of finalised intercountry adoptions. In previous years, national data may have included some cases of known child intercountry adoption.",,,,,,,,,,,,,
Note: Percentages may not add to 100 due to rounding.,,,,,,,,,,,,,
Source: AIHW Adoptions Australia data collection.,,,,,,,,,,,,,
