year,topic_disaggregation,lat,long,count
2010,ACT,-35.282001,149.128998,5946
2010,NSW,-32.256943,148.60110500000002,96486
2010,NT,-12.462827,130.841782,3883
2010,QLD,-27.470125,153.021072,62025
2010,SA,-32.4925,137.765839,20001
2010,TAS,-42.880554,147.324997,6137
2010,VIC,-36.757785999999996,144.278702,74472
2010,WA,-32.056946,115.743889,31265
2011,ACT,-35.282001,149.128998,5702
2011,NSW,-32.256943,148.60110500000002,97238
2011,NT,-12.462827,130.841782,3927
2011,QLD,-27.470125,153.021072,62171
2011,SA,-32.4925,137.765839,20344
2011,TAS,-42.880554,147.324997,6323
2011,VIC,-36.757785999999996,144.278702,74116
2011,WA,-32.056946,115.743889,32204
2012,ACT,-35.282001,149.128998,6144
2012,NSW,-32.256943,148.60110500000002,99507
2012,NT,-12.462827,130.841782,4030
2012,QLD,-27.470125,153.021072,63709
2012,SA,-32.4925,137.765839,20666
2012,TAS,-42.880554,147.324997,5940
2012,VIC,-36.757785999999996,144.278702,78393
2012,WA,-32.056946,115.743889,33862
2013,ACT,-35.282001,149.128998,6264
2013,NSW,-32.256943,148.60110500000002,96968
2013,NT,-12.462827,130.841782,4061
2013,QLD,-27.470125,153.021072,63157
2013,SA,-32.4925,137.765839,20263
2013,TAS,-42.880554,147.324997,6021
2013,VIC,-36.757785999999996,144.278702,78351
2013,WA,-32.056946,115.743889,34404
2014,ACT,-35.282001,149.128998,6452
2014,NSW,-32.256943,148.60110500000002,97319
2014,NT,-12.462827,130.841782,3975
2014,QLD,-27.470125,153.021072,63811
2014,SA,-32.4925,137.765839,20749
2014,TAS,-42.880554,147.324997,5892
2014,VIC,-36.757785999999996,144.278702,79145
2014,WA,-32.056946,115.743889,35205
2015,ACT,-35.282001,149.128998,6480
2015,NSW,-32.256943,148.60110500000002,96385
2015,NT,-12.462827,130.841782,4009
2015,QLD,-27.470125,153.021072,61888
2015,SA,-32.4925,137.765839,20154
2015,TAS,-42.880554,147.324997,5693
2015,VIC,-36.757785999999996,144.278702,79295
2015,WA,-32.056946,115.743889,34983
2016,ACT,-35.282001,149.128998,6582
2016,NSW,-32.256943,148.60110500000002,98709
2016,NT,-12.462827,130.841782,4011
2016,QLD,-27.470125,153.021072,62758
2016,SA,-32.4925,137.765839,20062
2016,TAS,-42.880554,147.324997,5920
2016,VIC,-36.757785999999996,144.278702,80882
2016,WA,-32.056946,115.743889,35890
2017,ACT,-35.282001,149.128998,6314
2017,NSW,-32.256943,148.60110500000002,95807
2017,NT,-12.462827,130.841782,3849
2017,QLD,-27.470125,153.021072,60314
2017,SA,-32.4925,137.765839,19485
2017,TAS,-42.880554,147.324997,5581
2017,VIC,-36.757785999999996,144.278702,79771
2017,WA,-32.056946,115.743889,34546
2018,ACT,-35.282001,149.128998,12082
2018,NSW,-32.256943,148.60110500000002,191090
2018,NT,-12.462827,130.841782,7550
2018,QLD,-27.470125,153.021072,120966
2018,SA,-32.4925,137.765839,38666
2018,TAS,-42.880554,147.324997,11032
2018,VIC,-36.757785999999996,144.278702,157818
2018,WA,-32.056946,115.743889,66854
