year,topic_disaggregation,lat,long,count
2010,ACT,-35.282001,149.128998,5826
2010,NSW,-32.256943,148.60110500000002,94993
2010,NT,-12.462827,130.841782,3830
2010,QLD,-27.470125,153.021072,61020
2010,SA,-32.4925,137.765839,19666
2010,TAS,-42.880554,147.324997,6020
2010,VIC,-36.757785999999996,144.278702,73258
2010,WA,-32.056946,115.743889,30842
2011,ACT,-35.282001,149.128998,5584
2011,NSW,-32.256943,148.60110500000002,95819
2011,NT,-12.462827,130.841782,3874
2011,QLD,-27.470125,153.021072,61117
2011,SA,-32.4925,137.765839,20043
2011,TAS,-42.880554,147.324997,6220
2011,VIC,-36.757785999999996,144.278702,72939
2011,WA,-32.056946,115.743889,31747
2012,ACT,-35.282001,149.128998,6035
2012,NSW,-32.256943,148.60110500000002,98138
2012,NT,-12.462827,130.841782,3983
2012,QLD,-27.470125,153.021072,62650
2012,SA,-32.4925,137.765839,20338
2012,TAS,-42.880554,147.324997,5863
2012,VIC,-36.757785999999996,144.278702,77170
2012,WA,-32.056946,115.743889,33393
2013,ACT,-35.282001,149.128998,6145
2013,NSW,-32.256943,148.60110500000002,95535
2013,NT,-12.462827,130.841782,4018
2013,QLD,-27.470125,153.021072,62168
2013,SA,-32.4925,137.765839,19925
2013,TAS,-42.880554,147.324997,5936
2013,VIC,-36.757785999999996,144.278702,77122
2013,WA,-32.056946,115.743889,33928
2014,ACT,-35.282001,149.128998,6325
2014,NSW,-32.256943,148.60110500000002,95923
2014,NT,-12.462827,130.841782,3924
2014,QLD,-27.470125,153.021072,62799
2014,SA,-32.4925,137.765839,20448
2014,TAS,-42.880554,147.324997,5818
2014,VIC,-36.757785999999996,144.278702,77921
2014,WA,-32.056946,115.743889,34686
2015,ACT,-35.282001,149.128998,6346
2015,NSW,-32.256943,148.60110500000002,94988
2015,NT,-12.462827,130.841782,3959
2015,QLD,-27.470125,153.021072,60929
2015,SA,-32.4925,137.765839,19818
2015,TAS,-42.880554,147.324997,5610
2015,VIC,-36.757785999999996,144.278702,78134
2015,WA,-32.056946,115.743889,34484
2016,ACT,-35.282001,149.128998,6457
2016,NSW,-32.256943,148.60110500000002,97290
2016,NT,-12.462827,130.841782,3960
2016,QLD,-27.470125,153.021072,61858
2016,SA,-32.4925,137.765839,19758
2016,TAS,-42.880554,147.324997,5818
2016,VIC,-36.757785999999996,144.278702,79710
2016,WA,-32.056946,115.743889,35396
2017,ACT,-35.282001,149.128998,6185
2017,NSW,-32.256943,148.60110500000002,94434
2017,NT,-12.462827,130.841782,3798
2017,QLD,-27.470125,153.021072,59387
2017,SA,-32.4925,137.765839,19195
2017,TAS,-42.880554,147.324997,5496
2017,VIC,-36.757785999999996,144.278702,78584
2017,WA,-32.056946,115.743889,34016
2018,ACT,-35.282001,149.128998,11858
2018,NSW,-32.256943,148.60110500000002,188326
2018,NT,-12.462827,130.841782,7454
2018,QLD,-27.470125,153.021072,119248
2018,SA,-32.4925,137.765839,38088
2018,TAS,-42.880554,147.324997,10872
2018,VIC,-36.757785999999996,144.278702,155466
2018,WA,-32.056946,115.743889,65948
